#{"t_start": 1769525024.005136, "env_id": "None"}
r,l,t
-8668242.323945,35712,57681.214308
-4082082.856317,35712,57756.05337
-15264992.571673,35712,57831.366087
-5900816.809253,35712,57906.159709
-7832031.027285,35712,57980.852808
-9251932.526466,35712,58056.596133
-5220536.513586,34560,58129.951174
-24435253.954713,35712,58205.422837
-6297586.531542,35712,58280.653226
-6587798.577402,34560,58353.274589
-11086277.897261,34560,58425.975149
-26298498.424127,35712,58501.518927
-9070805.053359,35712,58577.281492
-13363672.502512,35712,58652.374876
-5247770.765025,34560,58726.092664
-15618913.447313,34560,58798.734826
-10607244.251096,34560,58871.616071
-6299335.157952,35712,58947.053286
-8872015.714977,34560,59019.923288
-25831249.753408,35712,59095.23315
-7001884.498348,35712,59171.025054
-16994251.103813,35712,59245.934001
-24461104.945994,35712,59321.302367
-15677633.628318,35712,59396.181925
-2848029.374355,35712,59471.541187
-11268255.126756,35712,59546.680603
-27850904.324578,34560,59619.894933
-5438270.454898,35712,59695.016656
-4421776.385293,35712,59769.801269
-7607744.293324,34560,59842.272284
-29481861.397523,34560,59915.178627
-14049354.031252,35712,59990.061215
-5409999.465212,35712,60064.960651
-15907404.479054,35712,60140.189099
-6270706.008169,34560,60213.008929
-12675871.864294,34560,60285.688223
-6314710.250558,34560,60358.260514
-5939727.683806,35712,60433.519428
-27727967.034104,34560,60506.685428
-7094676.25125,35712,60582.559821
-18731845.768039,35712,60657.77705
-11374323.400994,35712,60732.865674
-8635369.316954,35712,60807.619949
-5551656.139575,35712,60882.732218
-3003396.392853,35712,60958.724842
-10281742.540102,35712,61035.157952
-5525842.018206,34560,61107.977026
-11297334.132981,35712,61183.556384
-7340169.546355,35712,61259.465035
-6349784.449276,34560,61331.945891
-16021585.208337,34560,61405.884927
-14444420.242449,35712,61481.912927
-4707184.933323,35712,61557.253426
-32095577.9945,35712,61632.502076
-19501473.955328,34560,61705.126275
-16489043.395773,34560,61779.101144
-20047344.294308,34560,61852.431107
-1431051.80266,35712,61928.031737
-4133840.141371,34560,62001.43492
-16640215.726364,35712,62077.105391
-10550380.073847,35712,62152.426457
-8774951.225994,35712,62227.351269
-15053407.158259,35712,62302.518367
-28064431.842567,35712,62377.716919
-1456477.241546,35712,62452.812252
-16495928.124672,35712,62528.312475
-8660182.30276,34560,62601.263106
-17445952.533932,35712,62676.244908
-33945656.194472,35712,62753.201571
-3414758.512406,34560,62825.713691
-7532067.64665,34560,62898.439467
-12050241.793264,35712,62974.558917
-13536758.221282,35712,63049.986912
-11275310.608529,35712,63125.372015
-13499947.96032,34560,63197.968316
-5689013.067963,34560,63270.610231
-8854239.419201,34560,63343.597179
-4000844.021756,35712,63418.773728
-27399620.101648,34560,63491.578166
-8633087.145527,35712,63567.974677
-14026667.015037,35712,63642.87368
-7087575.363096,35712,63717.999329
-22321654.865667,35712,63793.074106
-10128866.40961,35712,63868.195967
-23666449.006178,35712,63943.515708
-12843357.762078,35712,64019.860673
-6405689.337492,34560,64093.758236
-5756339.319205,35712,64169.825984
-3052098.464842,35712,64244.537281
-6137619.921477,34560,64317.072377
-4694871.447556,34560,64389.771856
-10797399.340205,35712,64464.659188
-7555758.586666,35712,64540.818368
-7715566.749474,35712,64616.683826
-12289713.041587,34560,64690.289141
-13372917.748181,34560,64763.470033
-26403218.186615,34560,64838.450225
-16979373.142118,35712,64915.372386
-3447298.709744,34560,64988.876793
-17471882.66523,35712,65064.989806
-14336493.577214,35712,65141.517945
-12301109.241181,35712,65217.190847
-23324141.639486,35712,65292.596213
-24601920.21651,35712,65368.172588
-1897242.567093,35712,65443.400267
-8834943.086838,35712,65518.721367
-4430175.288287,34560,65591.585538
